,Anio,Cantidad_Juegos,Score_Max,Score_Min,Score_Prom,Score_Mediana,Score_Mad,Score_Jugadores_Max,Score_Jugadores_Min,Score_Jugadores_Prom,Score_Jugadores_Mediana,Score_Jugadores_Mad,Criticos_Sum,Criticos_Prom,Criticos_Mediana,Usuarios_Sum,Usuarios_Prom,Usuarios_Mediana
0,1995,1,86,86,86.0,86.0,0.0,86.0,86.0,86.0,86.0,0.0,8,8.0,8.0,181,181.0,181.0
1,1996,20,94,53,85.45,89.0,7.1049999999999995,92.0,69.0,83.55,84.5,4.44,187,9.35,9.0,5820,291.0,75.5
2,1997,27,96,56,85.18518518518519,86.0,5.6460905349794235,92.0,65.0,84.5925925925926,86.0,4.4252400548696835,314,11.62962962962963,11.0,7785,288.3333333333333,116.0
3,1998,45,99,56,82.46666666666667,85.0,8.242962962962965,92.0,0.0,80.22222222222223,85.0,10.414814814814813,601,13.355555555555556,13.0,21237,471.93333333333334,84.0
4,1999,52,98,43,83.42307692307692,86.5,7.781065088757396,92.0,0.0,83.13461538461539,86.0,6.164940828402365,827,15.903846153846153,15.0,10549,202.8653846153846,91.0
5,2000,355,98,26,72.0112676056338,73.0,11.1650862924023,92.0,0.0,65.45070422535211,75.0,20.01499702439992,5340,15.04225352112676,14.0,29165,82.15492957746478,13.0
6,2001,546,97,26,71.38278388278388,73.0,10.806692696802587,92.0,0.0,67.11355311355311,76.0,18.429779012196597,8321,15.239926739926739,14.0,34328,62.87179487179487,13.0
7,2002,786,97,24,69.72010178117048,71.0,10.88873997241808,92.0,0.0,62.1234096692112,74.0,22.910035027743785,13127,16.701017811704833,15.0,34381,43.74173027989822,11.0
8,2003,811,96,22,70.33908754623921,72.0,10.598813174583142,92.0,0.0,68.02219482120839,77.0,17.639497598525818,16899,20.837237977805177,19.0,47410,58.45869297163995,18.0
9,2004,724,96,28,69.77624309392266,71.0,10.07350202985257,91.0,0.0,68.72513812154696,77.0,16.555260065321573,20400,28.176795580110497,25.5,67217,92.84116022099448,17.0
10,2005,859,96,26,70.0081490104773,71.0,9.67721895536001,92.0,0.0,68.36554132712456,76.0,15.650851560075404,24054,28.0023282887078,25.0,62622,72.90104772991852,22.0
11,2006,892,96,24,67.21076233183857,69.0,10.358251724345955,92.0,0.0,65.46076233183857,74.0,17.324483701663013,22821,25.58408071748879,22.0,63211,70.86434977578476,19.0
12,2007,936,97,17,66.67094017094017,68.0,10.763194901015414,98.0,0.0,64.2457264957265,72.0,16.54573471400394,22261,23.78311965811966,20.0,102412,109.41452991452991,22.0
13,2008,944,98,18,67.32944915254237,69.0,10.992183011347315,91.0,0.0,63.24258474576271,72.0,17.738993823613907,24152,25.584745762711865,20.0,116471,123.3802966101695,20.0
14,2009,970,96,17,68.74845360824742,71.0,10.629082793070465,90.0,0.0,63.077319587628864,72.0,18.081135083430755,26634,27.457731958762885,22.0,120050,123.76288659793815,25.0
15,2010,847,97,26,69.95749704840614,72.0,10.368450911544183,97.0,0.0,66.59740259740259,74.0,15.030098590901423,24769,29.243211334120424,24.0,141452,167.0035419126328,30.0
16,2011,861,96,23,69.3890824622532,71.0,10.531982771296104,97.0,0.0,64.95121951219512,70.0,13.658139996034109,24619,28.59349593495935,23.0,212387,246.6747967479675,40.0
17,2012,795,93,11,70.22012578616352,73.0,10.314924251414105,92.0,0.0,67.04150943396226,71.0,11.440227839088644,21103,26.544654088050315,21.0,198337,249.48050314465408,67.0
18,2013,766,97,16,70.33159268929504,73.0,10.30399689138245,92.0,0.0,67.2467362924282,71.0,11.268271649544277,18652,24.349869451697128,18.0,267512,349.23237597911225,96.5
19,2014,781,97,23,70.98719590268887,73.0,9.37185820077021,97.0,0.0,67.46862996158771,70.0,10.667396767990084,18314,23.449423815621,17.0,233436,298.8937259923175,82.0
20,2015,864,96,19,71.58333333333333,73.0,8.231674382716049,94.0,0.0,66.57523148148148,70.0,11.238372342249658,19351,22.39699074074074,15.0,255234,295.40972222222223,59.0
21,2016,982,93,30,71.38391038696538,73.0,8.433646782616629,97.0,0.0,64.38798370672097,69.0,12.326236824967543,21585,21.980651731160897,14.0,188051,191.4979633401222,41.0
22,2017,1059,97,17,72.31539187913125,74.0,7.82896009829859,91.0,0.0,63.254013220018884,69.0,14.173119294932325,22374,21.127478753541077,14.0,207213,195.6685552407932,36.0
23,2018,1147,97,28,72.09415867480384,73.0,8.076883025275746,92.0,0.0,63.03312990409765,69.0,14.86582411643581,21977,19.160418482999127,13.0,180103,157.02092414995641,26.0
24,2019,1010,93,36,72.77524752475247,74.0,7.743080090187237,96.0,0.0,61.94653465346535,67.0,15.011359670620529,20140,19.940594059405942,13.5,199843,197.86435643564357,31.5
25,2020,864,95,29,72.18981481481481,74.0,7.561246141975309,96.0,0.0,55.539351851851855,65.0,22.479938271604937,16570,19.17824074074074,13.0,294280,340.60185185185185,18.0
