,Desarrollador,Cantidad_Juegos,Score_Max,Score_Min,Score_Prom,Score_Mediana,Score_Mad,Score_Jugadores_Max,Score_Jugadores_Min,Score_Jugadores_Prom,Score_Jugadores_Mediana,Score_Jugadores_Mad
0,.theprodukkt,1,46,46,46.0,46.0,0.0,37.0,37.0,37.0,37.0,0.0
1,"101%,ONEOONEGAMES",1,63,63,63.0,63.0,0.0,73.0,73.0,73.0,73.0,0.0
2,10tacleStudios,1,37,37,37.0,37.0,0.0,44.0,44.0,44.0,44.0,0.0
3,"10tacleStudios,FusionsphereSystems",1,65,65,65.0,65.0,0.0,79.0,79.0,79.0,79.0,0.0
4,10tons,13,76,51,67.92307692307692,68.0,4.863905325443787,73.0,0.0,50.30769230769231,62.0,23.218934911242602
5,"10tonsEntertainment,10tons",8,74,62,67.125,66.5,3.625,75.0,0.0,60.75,69.0,15.1875
6,"10tonsEntertainment,10tonsLtd,10tons",1,65,65,65.0,65.0,0.0,62.0,62.0,62.0,62.0,0.0
7,"10tonsLtd,10tons",7,68,62,65.28571428571429,66.0,1.6734693877551012,60.0,0.0,30.714285714285715,47.0,26.3265306122449
8,11bitstudios,15,87,70,78.73333333333333,79.0,3.4844444444444442,86.0,61.0,75.33333333333333,77.0,6.044444444444445
9,"11bitstudios,DigitalSun",4,84,74,80.5,82.0,3.25,81.0,73.0,75.75,74.5,2.625
10,1337&SenriLLC,1,72,72,72.0,72.0,0.0,64.0,64.0,64.0,64.0,0.0
11,13AMGames,4,82,67,74.75,75.0,5.75,78.0,47.0,67.0,71.5,11.0
12,14DegreesEast,3,82,52,69.33333333333333,74.0,11.555555555555557,76.0,70.0,72.66666666666667,72.0,2.2222222222222237
13,17-Bit,2,82,78,80.0,80.0,2.0,71.0,60.0,65.5,65.5,5.5
14,"17Bit,17-Bit",1,81,81,81.0,81.0,0.0,81.0,81.0,81.0,81.0,0.0
15,"1C,1CEntertainment",7,91,48,68.28571428571429,68.0,13.755102040816327,87.0,55.0,70.0,70.0,8.857142857142858
16,"1C,ElementalGames,1CEntertainment",1,84,84,84.0,84.0,0.0,89.0,89.0,89.0,89.0,0.0
17,"1C,Ino-Co,1CEntertainment",1,72,72,72.0,72.0,0.0,73.0,73.0,73.0,73.0,0.0
18,"1C,SkyFallen,1CEntertainment",1,52,52,52.0,52.0,0.0,58.0,58.0,58.0,58.0,0.0
19,1C-Softclub,2,73,57,65.0,65.0,8.0,64.0,64.0,64.0,64.0,0.0
20,1C:Ino-Co,1,71,71,71.0,71.0,0.0,71.0,71.0,71.0,71.0,0.0
21,1C:MaddoxGames,2,86,60,73.0,73.0,13.0,87.0,71.0,79.0,79.0,8.0
22,1CEntertainment,1,86,86,86.0,86.0,0.0,63.0,63.0,63.0,63.0,0.0
23,1CGameStudios,1,74,74,74.0,74.0,0.0,60.0,60.0,60.0,60.0,0.0
24,1stPlayableProductions,2,82,61,71.5,71.5,10.5,82.0,57.0,69.5,69.5,12.5
25,"1stPlayableProductions,PlanetEntertainment",1,46,46,46.0,46.0,0.0,70.0,70.0,70.0,70.0,0.0
26,2015,3,91,71,78.33333333333333,73.0,8.444444444444443,86.0,61.0,74.33333333333333,76.0,8.888888888888891
27,"24CaratGames,24CaretGames",1,78,78,78.0,78.0,0.0,70.0,70.0,70.0,70.0,0.0
28,258ProductionsAB,1,37,37,37.0,37.0,0.0,38.0,38.0,38.0,38.0,0.0
29,2AwesomeStudio,1,72,72,72.0,72.0,0.0,74.0,74.0,74.0,74.0,0.0
30,2By3Games,1,77,77,77.0,77.0,0.0,61.0,61.0,61.0,61.0,0.0
31,2DBoy,2,94,90,92.0,92.0,2.0,87.0,84.0,85.5,85.5,1.5
32,2DawnGames,1,64,64,64.0,64.0,0.0,60.0,60.0,60.0,60.0,0.0
33,2KAustralia,3,77,74,75.33333333333333,75.0,1.1111111111111096,64.0,63.0,63.666666666666664,64.0,0.44444444444444525
34,2KCzech,6,84,61,75.5,76.0,5.5,83.0,69.0,79.16666666666667,81.0,3.444444444444443
35,2KGames,5,85,54,77.4,84.0,9.359999999999996,87.0,16.0,67.0,74.0,20.4
36,"2KGames,Virtuos",1,84,84,84.0,84.0,0.0,87.0,87.0,87.0,87.0,0.0
37,2KMarin,7,88,66,78.42857142857143,82.0,9.224489795918368,88.0,65.0,76.28571428571429,81.0,7.959183673469387
38,2KShanghai,1,55,55,55.0,55.0,0.0,55.0,55.0,55.0,55.0,0.0
39,2KSports,13,83,61,74.15384615384616,75.0,6.449704142011834,82.0,40.0,66.38461538461539,71.0,8.911242603550296
40,2XLGames,4,65,60,61.75,61.0,1.625,72.0,47.0,61.25,63.0,9.25
41,2x2Games,2,88,84,86.0,86.0,2.0,72.0,72.0,72.0,72.0,0.0
42,"3000AD,Inc.",2,68,54,61.0,61.0,7.0,46.0,26.0,36.0,36.0,10.0
43,343Industries,6,88,81,84.5,84.5,2.1666666666666665,82.0,64.0,74.33333333333333,74.0,5.333333333333333
44,"343Industries,VanguardGames",1,66,66,66.0,66.0,0.0,64.0,64.0,64.0,64.0,0.0
45,34BigThings,3,81,70,75.66666666666667,76.0,3.7777777777777763,79.0,71.0,76.33333333333333,79.0,3.555555555555557
46,369Interactive,4,65,45,56.25,57.5,6.75,85.0,68.0,73.75,71.0,5.625
47,3AGames,1,64,64,64.0,64.0,0.0,72.0,72.0,72.0,72.0,0.0
48,3D2Entertainment,1,65,65,65.0,65.0,0.0,70.0,70.0,70.0,70.0,0.0
49,"3DClouds.it,3DClouds",4,64,60,62.75,63.5,1.375,58.0,35.0,48.5,50.5,8.5
50,3DO,30,84,27,60.1,58.5,12.240000000000004,81.0,0.0,61.9,69.0,14.599999999999998
51,3DPeople,2,71,64,67.5,67.5,3.5,69.0,68.0,68.5,68.5,0.5
52,3DRealms,3,89,41,70.0,80.0,19.333333333333332,87.0,70.0,79.33333333333333,81.0,6.222222222222224
53,"3DRealms,Voidpoint,LLC",4,79,70,75.25,76.0,2.75,76.0,65.0,69.25,68.0,3.375
54,3GStudios,2,63,50,56.5,56.5,6.5,62.0,0.0,31.0,31.0,31.0
55,3Sprockets,1,63,63,63.0,63.0,0.0,71.0,71.0,71.0,71.0,0.0
56,3d6Games,3,65,51,59.666666666666664,63.0,5.777777777777779,77.0,0.0,45.0,58.0,30.0
57,3rdEyeStudios,1,65,65,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"3rdEyeStudiosOyLTD,3rdEyeStudios",1,61,61,61.0,61.0,0.0,48.0,48.0,48.0,48.0,0.0
59,49Games,8,56,36,44.375,43.5,6.125,78.0,0.0,42.375,60.0,31.78125
60,4AGames,15,84,60,79.2,81.0,3.946666666666665,85.0,67.0,77.0,80.0,4.933333333333334
61,4DRulers,1,58,58,58.0,58.0,0.0,72.0,72.0,72.0,72.0,0.0
62,4HeadStudios,2,82,61,71.5,71.5,10.5,84.0,69.0,76.5,76.5,7.5
63,4JStudios,10,93,49,71.1,75.0,11.860000000000003,88.0,51.0,76.4,79.5,7.919999999999999
64,"4JStudios,MojangAB",5,89,82,85.8,86.0,2.2400000000000007,73.0,66.0,70.2,71.0,2.5599999999999996
65,4XStudios,1,69,69,69.0,69.0,0.0,56.0,56.0,56.0,56.0,0.0
66,5-BitsGames,1,78,78,78.0,78.0,0.0,67.0,67.0,67.0,67.0,0.0
67,5000ft,2,63,61,62.0,62.0,1.0,53.0,0.0,26.5,26.5,26.5
68,5000ftInc.,1,54,54,54.0,54.0,0.0,56.0,56.0,56.0,56.0,0.0
69,505Games,10,81,54,68.8,69.0,8.0,75.0,31.0,52.0,53.5,9.4
70,"505Games,KeenGames",1,77,77,77.0,77.0,0.0,69.0,69.0,69.0,69.0,0.0
71,5LivesStudios,5,75,60,65.4,64.0,3.8400000000000034,78.0,50.0,62.8,62.0,10.16
72,5THCell,12,81,68,73.83333333333333,73.0,3.2777777777777763,83.0,60.0,73.91666666666667,76.5,6.11111111111111
73,5pb,10,84,60,73.0,74.0,7.2,88.0,49.0,76.2,80.0,8.16
