,Score_Jugadores,Cantidad_Juegos
0,0.0,1286
1,2.0,1
2,4.0,1
3,5.0,1
4,6.0,1
5,7.0,1
6,8.0,1
7,9.0,1
8,11.0,5
9,12.0,2
10,13.0,8
11,14.0,5
12,15.0,17
13,16.0,6
14,17.0,12
15,18.0,7
16,19.0,11
17,20.0,23
18,21.0,12
19,22.0,13
20,23.0,15
21,24.0,14
22,25.0,14
23,26.0,17
24,27.0,15
25,28.0,26
26,29.0,14
27,30.0,40
28,31.0,29
29,32.0,31
30,33.0,28
31,34.0,39
32,35.0,40
33,36.0,43
34,37.0,47
35,38.0,52
36,39.0,41
37,40.0,65
38,41.0,50
39,42.0,67
40,43.0,75
41,44.0,76
42,45.0,81
43,46.0,88
44,47.0,78
45,48.0,116
46,49.0,97
47,50.0,153
48,51.0,94
49,52.0,129
50,53.0,175
51,54.0,143
52,55.0,153
53,56.0,200
54,57.0,167
55,58.0,252
56,59.0,216
57,60.0,289
58,61.0,235
59,62.0,262
60,63.0,326
61,64.0,352
62,65.0,345
63,66.0,365
64,67.0,359
65,68.0,460
66,69.0,420
67,70.0,541
68,71.0,516
69,72.0,520
70,73.0,596
71,74.0,598
72,75.0,660
73,76.0,676
74,77.0,696
75,78.0,677
76,79.0,534
77,80.0,610
78,81.0,492
79,82.0,457
80,83.0,520
81,84.0,382
82,85.0,403
83,86.0,372
84,87.0,303
85,88.0,300
86,89.0,125
87,90.0,59
88,91.0,55
89,92.0,29
90,93.0,1
91,94.0,1
92,96.0,6
93,97.0,7
94,98.0,1
