,Score,Cantidad_Juegos
0,11,1
1,16,1
2,17,4
3,18,1
4,19,2
5,20,3
6,21,1
7,22,2
8,23,5
9,24,7
10,25,9
11,26,15
12,27,8
13,28,10
14,29,9
15,30,12
16,31,10
17,32,26
18,33,21
19,34,20
20,35,30
21,36,36
22,37,35
23,38,49
24,39,49
25,40,47
26,41,51
27,42,51
28,43,84
29,44,88
30,45,83
31,46,84
32,47,96
33,48,105
34,49,136
35,50,136
36,51,146
37,52,131
38,53,183
39,54,194
40,55,194
41,56,223
42,57,242
43,58,277
44,59,330
45,60,271
46,61,335
47,62,380
48,63,377
49,64,392
50,65,416
51,66,448
52,67,463
53,68,542
54,69,533
55,70,584
56,71,601
57,72,617
58,73,633
59,74,602
60,75,634
61,76,612
62,77,634
63,78,618
64,79,566
65,80,656
66,81,560
67,82,519
68,83,455
69,84,412
70,85,365
71,86,297
72,87,251
73,88,220
74,89,181
75,90,143
76,91,117
77,92,86
78,93,67
79,94,46
80,95,21
81,96,21
82,97,17
83,98,4
84,99,1
