,Plataforma,Cantidad_Juegos,Score_Max,Score_Min,Score_Prom,Score_Mediana,Score_Mad,Score_Jugadores_Max,Score_Jugadores_Min,Score_Jugadores_Prom,Score_Jugadores_Mediana,Score_Jugadores_Mad,Criticos_Sum,Criticos_Prom,Criticos_Mediana,Usuarios_Sum,Usuarios_Prom,Usuarios_Mediana
0,3DS,400,94,26,69.6075,71.0,9.747637499999998,91.0,0.0,68.2275,74.0,11.741525,11568,28.92,21.5,45975,114.9375,36.0
1,DS,730,93,20,66.48082191780821,68.0,10.026286357665603,97.0,0.0,56.00958904109589,72.0,26.959335710264593,15588,21.353424657534248,16.0,30413,41.66164383561644,11.0
2,Dreamcast,125,98,38,73.696,76.0,10.607615999999998,92.0,0.0,76.96,80.0,8.741760000000003,1756,14.048,13.0,3412,27.296,10.0
3,GameBoyAdvance,444,95,24,68.50450450450451,70.0,10.47256716175635,91.0,0.0,58.09234234234234,76.5,29.609376268160055,6560,14.774774774774775,12.0,12599,28.376126126126128,7.0
4,GameCube,452,97,23,70.74778761061947,71.0,10.215815647270736,92.0,0.0,68.38495575221239,78.0,16.993049573185058,9494,21.004424778761063,18.0,21249,47.01106194690266,12.0
5,Nintendo64,70,99,41,78.52857142857142,81.0,10.123673469387759,92.0,60.0,80.8,82.5,6.331428571428574,936,13.371428571428572,13.0,15032,214.74285714285713,48.0
6,PC,4592,96,16,71.55139372822299,73.0,9.103057202952568,97.0,0.0,66.48824041811847,71.0,12.807640958673773,89577,19.507186411149824,15.0,1217253,265.0812282229965,51.0
7,PSP,513,91,28,68.49317738791423,69.0,9.053991921540913,97.0,0.0,65.78362573099415,74.0,16.97098822429694,12448,24.265107212475634,21.0,19787,38.57115009746589,16.0
8,PlayStation,188,98,25,72.97872340425532,75.5,12.684019918515164,92.0,0.0,66.71808510638297,79.5,22.72374377546402,2196,11.680851063829786,11.0,21143,112.4627659574468,28.5
9,PlayStation2,1418,97,24,68.92383638928068,70.0,10.259464750010444,98.0,0.0,70.19887165021157,79.0,16.406979774449397,34278,24.173483779971793,22.0,84161,59.351904090267986,19.0
10,PlayStation3,1269,98,17,70.56816390858944,72.0,10.594654242123351,97.0,0.0,66.57210401891253,71.0,12.498756490004416,37707,29.713947990543737,26.0,243150,191.60756501182033,45.0
11,PlayStation4,1928,97,21,71.02230290456431,72.0,8.480088152752192,96.0,0.0,61.45280082987552,66.0,13.295778201993768,51147,26.528526970954356,18.0,762422,395.4470954356847,47.0
12,PlayStation5,3,85,73,80.0,82.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,117,39.0,47.0,0,0.0,0.0
13,PlayStationVita,257,93,33,70.98054474708171,72.0,8.457296855364959,89.0,0.0,71.43579766536965,74.0,9.1281321443171,5882,22.88715953307393,18.0,22755,88.5408560311284,44.0
14,Stadia,4,81,73,76.75,76.5,3.75,73.0,0.0,53.75,71.0,26.875,45,11.25,11.5,41,10.25,13.5
15,Switch,1122,97,17,72.44295900178253,74.0,7.938896673561662,96.0,0.0,64.25490196078431,73.0,17.66236762084513,19891,17.728163992869874,12.0,118772,105.85739750445633,20.0
16,Wii,664,97,18,65.7078313253012,67.0,11.097065974742343,92.0,0.0,64.82228915662651,73.0,17.4709954274931,15068,22.69277108433735,17.0,40576,61.10843373493976,16.0
17,WiiU,186,96,11,72.02150537634408,76.0,10.705746329055383,97.0,0.0,72.01075268817205,75.0,9.396115157821713,4743,25.5,14.0,37559,201.93010752688173,50.0
18,Xbox,793,97,22,69.97225725094577,72.0,10.803448840659682,91.0,0.0,60.200504413619164,73.0,23.715798228191506,21233,26.775535939470366,24.0,19284,24.317780580075663,11.0
19,Xbox360,1666,98,17,68.5828331332533,71.0,11.416627875640051,97.0,0.0,65.82352941176471,71.0,13.563237059529692,57312,34.40096038415366,30.0,235943,141.62244897959184,36.0
20,XboxOne,1118,97,23,72.35241502683363,74.0,8.112118816824063,96.0,0.0,58.491055456171736,65.0,16.484831077729527,17818,15.937388193202146,12.0,149161,133.41771019677995,27.0
21,XboxSeriesX,2,86,85,85.5,85.5,0.5,0.0,0.0,0.0,0.0,0.0,36,18.0,18.0,0,0.0,0.0
